Rank,Title,Popularity,Genre,Studio,Type,Episodes,Duration,Start_date,End_date,Members,Score
1,Shingeki no Kyojin: The Final Season - Kanketsu-hen,609,"Action, Drama, Suspense",MAPPA,Special,2,61,23-Mar,2023,347875,9.17
2,Fullmetal Alchemist: Brotherhood,3,"Action, Adventure, Drama, Fantasy",Bones,TV,64,24,9-Apr,10-Jul,3109951,9.11
3,Bleach: Sennen Kessen-hen,508,"Action, Adventure, Fantasy",Pierrot,TV,13,24,22-Oct,22-Dec,404036,9.09
4,Steins;Gate,13,"Drama, Sci-Fi, Suspense",White Fox,TV,24,24,11-Apr,11-Sep,2393767,9.08
5,Gintama°,335,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,TV,51,24,15-Apr,16-Mar,581994,9.07
6,Kaguya-sama wa Kokurasetai: Ultra Romantic,221,"Comedy, Romance",A-1 Pictures,TV,13,23,22-Apr,22-Jun,772019,9.06
7,Shingeki no Kyojin Season 3 Part 2,26,"Action, Drama",Wit Studio,TV,10,23,19-Apr,19-Jul,2045115,9.06
8,Gintama: The Final,1581,"Action, Comedy, Drama, Sci-Fi",Bandai Namco Pictures,Movie,1,104,21-Jan,21-Jan,126411,9.05
9,Gintama',385,"Action, Comedy, Sci-Fi",Sunrise,TV,51,24,11-Apr,12-Mar,513321,9.04
10,Hunter x Hunter (2011),10,"Action, Adventure, Fantasy",Madhouse,TV,148,23,11-Oct,14-Sep,2596435,9.04
11,Ginga Eiyuu Densetsu,724,"Drama, Sci-Fi","K-Factory, Kitty Film Mitaka Studio",OVA,110,26,Jan-88,Mar-97,299874,9.03
12,Gintama': Enchousen,712,"Action, Comedy, Sci-Fi",Sunrise,TV,13,24,12-Oct,13-Mar,303048,9.03
13,Fruits Basket: The Final,494,"Drama, Romance, Supernatural",TMS Entertainment,TV,13,23,21-Apr,21-Jun,412917,9.01
14,Gintama.,744,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,TV,12,24,17-Jan,17-Mar,291330,8.99
15,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,1872,"Comedy, Drama, Romance",A-1 Pictures,Movie,1,96,22-Dec,22-Dec,100847,8.95
16,3-gatsu no Lion 2nd Season,550,"Drama, Slice of Life",Shaft,TV,22,25,17-Oct,18-Mar,376498,8.94
17,Clannad: After Story,111,"Drama, Romance, Supernatural",Kyoto Animation,TV,24,24,8-Oct,9-Mar,1134162,8.94
18,Gintama,138,"Action, Comedy, Sci-Fi",Sunrise,TV,201,24,6-Apr,10-Mar,1006869,8.94
